REPORTING_PERIOD_START,REPORTING_PERIOD_END,STATUS,BREAKDOWN,PRIMARY_LEVEL,PRIMARY_LEVEL_DESCRIPTION,SECONDARY_LEVEL,SECONDARY_LEVEL_DESCRIPTION,MEASURE_ID,MEASURE_NAME,MEASURE_VALUE,month,year,high_demand
2022-01-04,30/04/2022,Final,England; Accommodation Type,England,England,1,Owner occupier,MHS01,People in contact with services at the end of the reporting period,95303,1,2022,1
2022-01-04,30/04/2022,Final,England; Accommodation Type,England,England,2,Tenant - Local Authority/Arms Length Management Organisation/registered social housing provider,MHS01,People in contact with services at the end of the reporting period,53681,1,2022,1
2022-01-04,30/04/2022,Final,England; Accommodation Type,England,England,3,Tenant - private landlord,MHS01,People in contact with services at the end of the reporting period,25254,1,2022,1
2022-01-04,30/04/2022,Final,England; Accommodation Type,England,England,4,Living with family,MHS01,People in contact with services at the end of the reporting period,54497,1,2022,1
2022-01-04,30/04/2022,Final,England; Accommodation Type,England,England,5,Living with friends,MHS01,People in contact with services at the end of the reporting period,17371,1,2022,1
2022-01-04,30/04/2022,Final,England; Accommodation Type,England,England,6,University or College accommodation,MHS01,People in contact with services at the end of the reporting period,1822,1,2022,0
2022-01-04,30/04/2022,Final,England; Accommodation Type,England,England,7,ACCOMMODATION tied to job (including Armed Forces),MHS01,People in contact with services at the end of the reporting period,143,1,2022,0
2022-01-04,30/04/2022,Final,England; Accommodation Type,England,England,8,Mobile ACCOMMODATION,MHS01,People in contact with services at the end of the reporting period,214,1,2022,0
2022-01-04,30/04/2022,Final,England; Accommodation Type,England,England,9,Care Home Services without Nursing,MHS01,People in contact with services at the end of the reporting period,9513,1,2022,1
2022-01-04,30/04/2022,Final,England; Accommodation Type,England,England,10,Care Home Services with Nursing,MHS01,People in contact with services at the end of the reporting period,8188,1,2022,1
2022-01-04,30/04/2022,Final,England; Accommodation Type,England,England,11,Specialist Housing (with suitable adaptations to meet impairment needs and support to live independently),MHS01,People in contact with services at the end of the reporting period,14344,1,2022,1
2022-01-04,30/04/2022,Final,England; Accommodation Type,England,England,12,Rough sleeper,MHS01,People in contact with services at the end of the reporting period,1594,1,2022,0
2022-01-04,30/04/2022,Final,England; Accommodation Type,England,England,13,Squatting,MHS01,People in contact with services at the end of the reporting period,379,1,2022,0
2022-01-04,30/04/2022,Final,England; Accommodation Type,England,England,14,Sofa surfing (sleeps on different friends floor each night),MHS01,People in contact with services at the end of the reporting period,652,1,2022,0
2022-01-04,30/04/2022,Final,England; Accommodation Type,England,England,15,Staying with friends/family as a short term guest,MHS01,People in contact with services at the end of the reporting period,21387,1,2022,1
2022-01-04,30/04/2022,Final,England; Accommodation Type,England,England,16,Bed and breakfast ACCOMMODATION to prevent or relieve homelessness,MHS01,People in contact with services at the end of the reporting period,1332,1,2022,0
2022-01-04,30/04/2022,Final,England; Accommodation Type,England,England,17,Sleeping in a night shelter,MHS01,People in contact with services at the end of the reporting period,482,1,2022,0
2022-01-04,30/04/2022,Final,England; Accommodation Type,England,England,18,Hostel to prevent or relieve homelessness,MHS01,People in contact with services at the end of the reporting period,808,1,2022,0
2022-01-04,30/04/2022,Final,England; Accommodation Type,England,England,19,Temporary housing to prevent or relieve homelessness,MHS01,People in contact with services at the end of the reporting period,1481,1,2022,0
2022-01-04,30/04/2022,Final,England; Accommodation Type,England,England,20,Admitted PATIENT settings,MHS01,People in contact with services at the end of the reporting period,6591,1,2022,1
2022-01-04,30/04/2022,Final,England; Accommodation Type,England,England,21,Criminal justice settings,MHS01,People in contact with services at the end of the reporting period,587,1,2022,0
2022-01-04,30/04/2022,Final,England; Accommodation Type,England,England,98,Other (not listed),MHS01,People in contact with services at the end of the reporting period,109838,1,2022,1
2022-01-04,30/04/2022,Final,England; Accommodation Type,England,England,UNKNOWN,UNKNOWN,MHS01,People in contact with services at the end of the reporting period,1161608,1,2022,1
2022-01-04,30/04/2022,Final,England; Age,England,England,0 to 5,0 to 5,MHS01,People in contact with services at the end of the reporting period,24908,1,2022,0
2022-01-04,30/04/2022,Final,England; Age,England,England,11 to 15,11 to 15,MHS01,People in contact with services at the end of the reporting period,228884,1,2022,1
2022-01-04,30/04/2022,Final,England; Age,England,England,16,16,MHS01,People in contact with services at the end of the reporting period,54477,1,2022,0
2022-01-04,30/04/2022,Final,England; Age,England,England,17,17,MHS01,People in contact with services at the end of the reporting period,44002,1,2022,0
2022-01-04,30/04/2022,Final,England; Age,England,England,18,18,MHS01,People in contact with services at the end of the reporting period,28395,1,2022,0
2022-01-04,30/04/2022,Final,England; Age,England,England,19,19,MHS01,People in contact with services at the end of the reporting period,23479,1,2022,0
2022-01-04,30/04/2022,Final,England; Age,England,England,20 to 24,20 to 24,MHS01,People in contact with services at the end of the reporting period,119538,1,2022,1
2022-01-04,30/04/2022,Final,England; Age,England,England,25 to 29,25 to 29,MHS01,People in contact with services at the end of the reporting period,112966,1,2022,1
2022-01-04,30/04/2022,Final,England; Age,England,England,30 to 34,30 to 34,MHS01,People in contact with services at the end of the reporting period,106772,1,2022,1
2022-01-04,30/04/2022,Final,England; Age,England,England,35 to 39,35 to 39,MHS01,People in contact with services at the end of the reporting period,91007,1,2022,1
2022-01-04,30/04/2022,Final,England; Age,England,England,40 to 44,40 to 44,MHS01,People in contact with services at the end of the reporting period,79187,1,2022,1
2022-01-04,30/04/2022,Final,England; Age,England,England,45 to 49,45 to 49,MHS01,People in contact with services at the end of the reporting period,70502,1,2022,1
2022-01-04,30/04/2022,Final,England; Age,England,England,50 to 54,50 to 54,MHS01,People in contact with services at the end of the reporting period,72872,1,2022,1
2022-01-04,30/04/2022,Final,England; Age,England,England,55 to 59,55 to 59,MHS01,People in contact with services at the end of the reporting period,66828,1,2022,1
2022-01-04,30/04/2022,Final,England; Age,England,England,6 to 10,6 to 10,MHS01,People in contact with services at the end of the reporting period,116668,1,2022,1
2022-01-04,30/04/2022,Final,England; Age,England,England,60 to 64,60 to 64,MHS01,People in contact with services at the end of the reporting period,52393,1,2022,0
2022-01-04,30/04/2022,Final,England; Age,England,England,65 to 69,65 to 69,MHS01,People in contact with services at the end of the reporting period,42228,1,2022,0
2022-01-04,30/04/2022,Final,England; Age,England,England,70 to 74,70 to 74,MHS01,People in contact with services at the end of the reporting period,47431,1,2022,0
2022-01-04,30/04/2022,Final,England; Age,England,England,75 to 79,75 to 79,MHS01,People in contact with services at the end of the reporting period,60492,1,2022,0
2022-01-04,30/04/2022,Final,England; Age,England,England,80 to 84,80 to 84,MHS01,People in contact with services at the end of the reporting period,60245,1,2022,0
2022-01-04,30/04/2022,Final,England; Age,England,England,85 to 89,85 to 89,MHS01,People in contact with services at the end of the reporting period,51432,1,2022,0
2022-01-04,30/04/2022,Final,England; Age,England,England,90 or over,90 or over,MHS01,People in contact with services at the end of the reporting period,30669,1,2022,0
2022-01-04,30/04/2022,Final,England; Age,England,England,UNKNOWN,UNKNOWN,MHS01,People in contact with services at the end of the reporting period,1694,1,2022,0
2022-01-04,30/04/2022,Final,England; Disability,England,England,1,Behaviour and Emotional,MHS01,People in contact with services at the end of the reporting period,37552,1,2022,1
2022-01-04,30/04/2022,Final,England; Disability,England,England,2,Hearing,MHS01,People in contact with services at the end of the reporting period,10335,1,2022,0
2022-01-04,30/04/2022,Final,England; Disability,England,England,3,Manual Dexterity,MHS01,People in contact with services at the end of the reporting period,5573,1,2022,0
2022-01-04,30/04/2022,Final,England; Disability,England,England,4,"Memory or ability to concentrate, learn or understand (Learning Disability)",MHS01,People in contact with services at the end of the reporting period,30252,1,2022,1
2022-01-04,30/04/2022,Final,England; Disability,England,England,5,Mobility and Gross Motor,MHS01,People in contact with services at the end of the reporting period,20164,1,2022,1
2022-01-04,30/04/2022,Final,England; Disability,England,England,6,Perception of Physical Danger,MHS01,People in contact with services at the end of the reporting period,6103,1,2022,0
2022-01-04,30/04/2022,Final,England; Disability,England,England,7,"Personal, Self Care and Continence",MHS01,People in contact with services at the end of the reporting period,14629,1,2022,0
2022-01-04,30/04/2022,Final,England; Disability,England,England,8,"Progressive Conditions and Physical Health (such as HIV, cancer, multiple sclerosis, fits etc)",MHS01,People in contact with services at the end of the reporting period,17478,1,2022,0
2022-01-04,30/04/2022,Final,England; Disability,England,England,9,Sight,MHS01,People in contact with services at the end of the reporting period,14446,1,2022,0
2022-01-04,30/04/2022,Final,England; Disability,England,England,10,Speech,MHS01,People in contact with services at the end of the reporting period,11858,1,2022,0
2022-01-04,30/04/2022,Final,England; Disability,England,England,NN,No DISABILITY,MHS01,People in contact with services at the end of the reporting period,82432,1,2022,1
2022-01-04,30/04/2022,Final,England; Disability,England,England,UNKNOWN,UNKNOWN,MHS01,People in contact with services at the end of the reporting period,1366881,1,2022,1
2022-01-04,30/04/2022,Final,England; Disability,England,England,XX,Other (not listed),MHS01,People in contact with services at the end of the reporting period,22868,1,2022,1
2022-01-04,30/04/2022,Final,England; Disability,England,England,ZZ,Not Stated (PERSON asked but declined to provide a response),MHS01,People in contact with services at the end of the reporting period,34982,1,2022,1
2022-01-04,30/04/2022,Final,England; Employment Status,England,England,1,Employed,MHS01,People in contact with services at the end of the reporting period,50837,1,2022,0
2022-01-04,30/04/2022,Final,England; Employment Status,England,England,2,Unemployed and actively seeking work,MHS01,People in contact with services at the end of the reporting period,52873,1,2022,1
2022-01-04,30/04/2022,Final,England; Employment Status,England,England,3,Undertaking full (at least 16 hours per week) or part-time (less than 16 hours per week) education or training as a student and not working or actively seeking work,MHS01,People in contact with services at the end of the reporting period,68566,1,2022,1
2022-01-04,30/04/2022,Final,England; Employment Status,England,England,4,"Long-term sick or disabled, those receiving government sickness and disability benefits",MHS01,People in contact with services at the end of the reporting period,76053,1,2022,1
2022-01-04,30/04/2022,Final,England; Employment Status,England,England,5,Looking after the family or home as a homemaker and not working or actively seeking work,MHS01,People in contact with services at the end of the reporting period,6277,1,2022,0
2022-01-04,30/04/2022,Final,England; Employment Status,England,England,6,Not receiving government sickness and disability benefits and not working or actively seeking work,MHS01,People in contact with services at the end of the reporting period,5411,1,2022,0
2022-01-04,30/04/2022,Final,England; Employment Status,England,England,7,Unpaid voluntary work and not working or actively seeking work,MHS01,People in contact with services at the end of the reporting period,2355,1,2022,0
2022-01-04,30/04/2022,Final,England; Employment Status,England,England,8,Retired,MHS01,People in contact with services at the end of the reporting period,77089,1,2022,1
2022-01-04,30/04/2022,Final,England; Employment Status,England,England,UNKNOWN,UNKNOWN,MHS01,People in contact with services at the end of the reporting period,1205756,1,2022,1
2022-01-04,30/04/2022,Final,England; Employment Status,England,England,ZZ,Not Stated (PERSON asked but declined to provide a response),MHS01,People in contact with services at the end of the reporting period,41852,1,2022,0
2022-01-04,30/04/2022,Final,England; Ethnicity,England,England,99,Not Known,MHS01,People in contact with services at the end of the reporting period,108133,1,2022,1
2022-01-04,30/04/2022,Final,England; Ethnicity,England,England,A,British,MHS01,People in contact with services at the end of the reporting period,986408,1,2022,1
2022-01-04,30/04/2022,Final,England; Ethnicity,England,England,B,Irish,MHS01,People in contact with services at the end of the reporting period,9866,1,2022,0
2022-01-04,30/04/2022,Final,England; Ethnicity,England,England,C,Any other White background,MHS01,People in contact with services at the end of the reporting period,60642,1,2022,1
2022-01-04,30/04/2022,Final,England; Ethnicity,England,England,D,White and Black Caribbean,MHS01,People in contact with services at the end of the reporting period,14333,1,2022,0
2022-01-04,30/04/2022,Final,England; Ethnicity,England,England,E,White and Black African,MHS01,People in contact with services at the end of the reporting period,5365,1,2022,0
2022-01-04,30/04/2022,Final,England; Ethnicity,England,England,F,White and Asian,MHS01,People in contact with services at the end of the reporting period,7808,1,2022,0
2022-01-04,30/04/2022,Final,England; Ethnicity,England,England,G,Any other mixed background,MHS01,People in contact with services at the end of the reporting period,30930,1,2022,1
2022-01-04,30/04/2022,Final,England; Ethnicity,England,England,H,Indian,MHS01,People in contact with services at the end of the reporting period,21130,1,2022,0
2022-01-04,30/04/2022,Final,England; Ethnicity,England,England,J,Pakistani,MHS01,People in contact with services at the end of the reporting period,25166,1,2022,1
2022-01-04,30/04/2022,Final,England; Ethnicity,England,England,K,Bangladeshi,MHS01,People in contact with services at the end of the reporting period,10087,1,2022,0
2022-01-04,30/04/2022,Final,England; Ethnicity,England,England,L,Any other Asian background,MHS01,People in contact with services at the end of the reporting period,17805,1,2022,0
2022-01-04,30/04/2022,Final,England; Ethnicity,England,England,M,Caribbean,MHS01,People in contact with services at the end of the reporting period,19417,1,2022,0
2022-01-04,30/04/2022,Final,England; Ethnicity,England,England,N,African,MHS01,People in contact with services at the end of the reporting period,20964,1,2022,0
2022-01-04,30/04/2022,Final,England; Ethnicity,England,England,P,Any other Black background,MHS01,People in contact with services at the end of the reporting period,15618,1,2022,0
2022-01-04,30/04/2022,Final,England; Ethnicity,England,England,R,Chinese,MHS01,People in contact with services at the end of the reporting period,3447,1,2022,0
2022-01-04,30/04/2022,Final,England; Ethnicity,England,England,S,Any other ethnic group,MHS01,People in contact with services at the end of the reporting period,36894,1,2022,1
2022-01-04,30/04/2022,Final,England; Ethnicity,England,England,UNKNOWN,UNKNOWN,MHS01,People in contact with services at the end of the reporting period,44282,1,2022,1
2022-01-04,30/04/2022,Final,England; Ethnicity,England,England,Z,Not stated,MHS01,People in contact with services at the end of the reporting period,148774,1,2022,1
2022-01-04,30/04/2022,Final,England; Gender,England,England,1,Male (including trans man),MHS01,People in contact with services at the end of the reporting period,730250,1,2022,1
2022-01-04,30/04/2022,Final,England; Gender,England,England,2,Female (including trans woman),MHS01,People in contact with services at the end of the reporting period,838302,1,2022,1
2022-01-04,30/04/2022,Final,England; Gender,England,England,3,Non-binary,MHS01,People in contact with services at the end of the reporting period,1763,1,2022,0
2022-01-04,30/04/2022,Final,England; Gender,England,England,4,Other (not listed),MHS01,People in contact with services at the end of the reporting period,809,1,2022,0
2022-01-04,30/04/2022,Final,England; Gender,England,England,9,Indeterminate (unable to be classified as either male or female),MHS01,People in contact with services at the end of the reporting period,1248,1,2022,0
2022-01-04,30/04/2022,Final,England; Gender,England,England,UNKNOWN,UNKNOWN,MHS01,People in contact with services at the end of the reporting period,14697,1,2022,1
2022-01-04,30/04/2022,Final,England; IMD Decile,England,England,01 Most deprived,01 Most deprived,MHS01,People in contact with services at the end of the reporting period,232072,1,2022,1
2022-01-04,30/04/2022,Final,England; IMD Decile,England,England,02 More deprived,02 More deprived,MHS01,People in contact with services at the end of the reporting period,203260,1,2022,1
2022-01-04,30/04/2022,Final,England; IMD Decile,England,England,03 More deprived,03 More deprived,MHS01,People in contact with services at the end of the reporting period,187424,1,2022,1
2022-01-04,30/04/2022,Final,England; IMD Decile,England,England,04 More deprived,04 More deprived,MHS01,People in contact with services at the end of the reporting period,166552,1,2022,1
2022-01-04,30/04/2022,Final,England; IMD Decile,England,England,05 More deprived,05 More deprived,MHS01,People in contact with services at the end of the reporting period,150884,1,2022,1
2022-01-04,30/04/2022,Final,England; IMD Decile,England,England,06 Less deprived,06 Less deprived,MHS01,People in contact with services at the end of the reporting period,141065,1,2022,0
2022-01-04,30/04/2022,Final,England; IMD Decile,England,England,07 Less deprived,07 Less deprived,MHS01,People in contact with services at the end of the reporting period,130675,1,2022,0
2022-01-04,30/04/2022,Final,England; IMD Decile,England,England,08 Less deprived,08 Less deprived,MHS01,People in contact with services at the end of the reporting period,123727,1,2022,0
2022-01-04,30/04/2022,Final,England; IMD Decile,England,England,09 Less deprived,09 Less deprived,MHS01,People in contact with services at the end of the reporting period,115516,1,2022,0
2022-01-04,30/04/2022,Final,England; IMD Decile,England,England,10 Least deprived,10 Least deprived,MHS01,People in contact with services at the end of the reporting period,106699,1,2022,0
2022-01-04,30/04/2022,Final,England; IMD Decile,England,England,UNKNOWN,UNKNOWN,MHS01,People in contact with services at the end of the reporting period,29195,1,2022,0
2022-01-04,30/04/2022,Final,England; Sexual Orientation,England,England,Asexual (not sexually attracted to either gender),Asexual (not sexually attracted to either gender),MHS01,People in contact with services at the end of the reporting period,1023,1,2022,0
2022-01-04,30/04/2022,Final,England; Sexual Orientation,England,England,Bisexual,Bisexual,MHS01,People in contact with services at the end of the reporting period,6818,1,2022,0
2022-01-04,30/04/2022,Final,England; Sexual Orientation,England,England,Gay or Lesbian,Gay or Lesbian,MHS01,People in contact with services at the end of the reporting period,3887,1,2022,0
2022-01-04,30/04/2022,Final,England; Sexual Orientation,England,England,Heterosexual or Straight,Heterosexual or Straight,MHS01,People in contact with services at the end of the reporting period,196605,1,2022,1
2022-01-04,30/04/2022,Final,England; Sexual Orientation,England,England,Not Stated (Person asked but declined to provide a response),Not Stated (Person asked but declined to provide a response),MHS01,People in contact with services at the end of the reporting period,30406,1,2022,1
2022-01-04,30/04/2022,Final,England; Sexual Orientation,England,England,Not known (not recorded),Not known (not recorded),MHS01,People in contact with services at the end of the reporting period,176993,1,2022,1
